,Latitude,Longitude
autoweedhsc-20210627-115823.343975.jpg,-18.8169793483,146.140699933
autoweedhsc-20210627-115828.420702.jpg,-18.8162688567,146.140271588
autoweedhsc-20210627-115828.473455.jpg,-18.8162688567,146.140271588
autoweedhsc-20210627-115828.954963.jpg,-18.8161945450,146.140226425
autoweedhsc-20210627-115829.173663.jpg,-18.8161703700,146.140211845
autoweedhsc-20210627-115829.226245.jpg,-18.8161703700,146.140211845
autoweedhsc-20210627-115829.340713.jpg,-18.8161703700,146.140211845
autoweedhsc-20210627-115829.393758.jpg,-18.8161465183,146.140197402
autoweedhsc-20210627-115829.450236.jpg,-18.8161465183,146.140197402
autoweedhsc-20210627-115829.994103.jpg,-18.8160766567,146.140155377
autoweedhsc-20210627-115830.220431.jpg,-18.8160538550,146.140141693
autoweedhsc-20210627-115832.635081.jpg,-18.8157964817,146.139985428
autoweedhsc-20210627-115832.750234.jpg,-18.8157964817,146.139985428
autoweedhsc-20210627-115833.456342.jpg,-18.8157162100,146.139936772
autoweedhsc-20210627-115833.526685.jpg,-18.8157162100,146.139936772
autoweedhsc-20210627-115833.598790.jpg,-18.8156962100,146.139924655
autoweedhsc-20210627-115833.670976.jpg,-18.8156962100,146.139924655
autoweedhsc-20210627-115839.133737.jpg,-18.8151771933,146.139614587
autoweedhsc-20210627-115839.216801.jpg,-18.8151586683,146.139603647
autoweedhsc-20210627-115839.590439.jpg,-18.8151218167,146.139581802
autoweedhsc-20210627-115839.653924.jpg,-18.8151218167,146.139581802
autoweedhsc-20210627-115839.714026.jpg,-18.8151218167,146.139581802
autoweedhsc-20210627-115839.778631.jpg,-18.8151034583,146.139571002
autoweedhsc-20210627-115839.837973.jpg,-18.8151034583,146.139571002
autoweedhsc-20210627-115839.897309.jpg,-18.8151034583,146.139571002
autoweedhsc-20210627-115839.960457.jpg,-18.8150850250,146.139560207
autoweedhsc-20210627-115840.226485.jpg,-18.8150667200,146.139549552
autoweedhsc-20210627-115840.290347.jpg,-18.8150667200,146.139549552
autoweedhsc-20210627-115840.355424.jpg,-18.8150484050,146.139538858
autoweedhsc-20210627-115840.500219.jpg,-18.8150484050,146.139538858
autoweedhsc-20210627-115840.564341.jpg,-18.8150301883,146.139528120
autoweedhsc-20210627-115840.762801.jpg,-18.8150120533,146.139517442
autoweedhsc-20210627-115840.913083.jpg,-18.8150120533,146.139517442
autoweedhsc-20210627-115840.996190.jpg,-18.8149939833,146.139506630
autoweedhsc-20210627-115841.068029.jpg,-18.8149939833,146.139506630
autoweedhsc-20210627-115841.140915.jpg,-18.8149939833,146.139506630
autoweedhsc-20210627-115841.213886.jpg,-18.8149760117,146.139495913
autoweedhsc-20210627-115841.268748.jpg,-18.8149760117,146.139495913
autoweedhsc-20210627-115841.351873.jpg,-18.8149580083,146.139485213
autoweedhsc-20210627-115841.416318.jpg,-18.8149580083,146.139485213
autoweedhsc-20210627-115841.471098.jpg,-18.8149580083,146.139485213
autoweedhsc-20210627-115842.182679.jpg,-18.8148866367,146.139442520
autoweedhsc-20210627-115842.737890.jpg,-18.8148512650,146.139421033
autoweedhsc-20210627-115843.468394.jpg,-18.8147807850,146.139378228
autoweedhsc-20210627-115843.529682.jpg,-18.8147807850,146.139378228
autoweedhsc-20210627-115843.591222.jpg,-18.8147633050,146.139367590
autoweedhsc-20210627-115843.718724.jpg,-18.8147633050,146.139367590
autoweedhsc-20210627-115844.006785.jpg,-18.8147281917,146.139346438
autoweedhsc-20210627-115844.066998.jpg,-18.8147281917,146.139346438
autoweedhsc-20210627-115844.155699.jpg,-18.8147107183,146.139335918
autoweedhsc-20210627-115844.221797.jpg,-18.8147107183,146.139335918
autoweedhsc-20210627-115844.285983.jpg,-18.8147107183,146.139335918
autoweedhsc-20210627-115844.448867.jpg,-18.8146932167,146.139325360
autoweedhsc-20210627-115844.520269.jpg,-18.8146932167,146.139325360
autoweedhsc-20210627-115845.032248.jpg,-18.8146406583,146.139293853
autoweedhsc-20210627-115845.156337.jpg,-18.8146230750,146.139283475
autoweedhsc-20210627-115845.216130.jpg,-18.8146230750,146.139283475
autoweedhsc-20210627-115845.285202.jpg,-18.8146230750,146.139283475
autoweedhsc-20210627-115845.345503.jpg,-18.8146230750,146.139283475
autoweedhsc-20210627-115845.399306.jpg,-18.8146054583,146.139273007
autoweedhsc-20210627-115845.770978.jpg,-18.8145701417,146.139252233
autoweedhsc-20210627-115845.988974.jpg,-18.8145523133,146.139241725
autoweedhsc-20210627-115846.051630.jpg,-18.8145523133,146.139241725
autoweedhsc-20210627-115846.109659.jpg,-18.8145523133,146.139241725
autoweedhsc-20210627-115846.183512.jpg,-18.8145343500,146.139231217
autoweedhsc-20210627-115846.578340.jpg,-18.8144977833,146.139209838
autoweedhsc-20210627-115847.625515.jpg,-18.8144044550,146.139154650
autoweedhsc-20210627-115848.696483.jpg,-18.8143115183,146.139099430
autoweedhsc-20210627-115848.749144.jpg,-18.8143115183,146.139099430
autoweedhsc-20210627-115848.802670.jpg,-18.8142929500,146.139088330
autoweedhsc-20210627-115848.855257.jpg,-18.8142929500,146.139088330
autoweedhsc-20210627-115848.907157.jpg,-18.8142929500,146.139088330
autoweedhsc-20210627-115848.962230.jpg,-18.8142743300,146.139077125
autoweedhsc-20210627-115849.013949.jpg,-18.8142743300,146.139077125
autoweedhsc-20210627-115849.501608.jpg,-18.8142369600,146.139054903
autoweedhsc-20210627-115849.555063.jpg,-18.8142182683,146.139043790
autoweedhsc-20210627-115849.608544.jpg,-18.8142182683,146.139043790
autoweedhsc-20210627-115849.668311.jpg,-18.8142182683,146.139043790
autoweedhsc-20210627-115849.722830.jpg,-18.8142182683,146.139043790
autoweedhsc-20210627-115849.835530.jpg,-18.8141996067,146.139032715
autoweedhsc-20210627-115849.888606.jpg,-18.8141996067,146.139032715
